Day,Bitcoin
2017-07-06,91.07646812332108
2017-07-07,78.06554410570378
2017-07-08,78.06554410570378
2017-07-09,78.06554410570378
2017-07-10,91.07646812332108
2017-07-11,104.08739214093838
2017-07-12,91.07646812332108
2017-07-13,91.07646812332108
2017-07-14,91.07646812332108
2017-07-15,104.08739214093838
2017-07-16,117.09831615855568
2017-07-17,104.08739214093838
2017-07-18,104.08739214093838
2017-07-19,104.08739214093838
2017-07-20,104.08739214093838
2017-07-21,104.08739214093838
2017-07-22,91.07646812332108
2017-07-23,91.07646812332108
2017-07-24,91.07646812332108
2017-07-25,104.08739214093838
2017-07-26,104.08739214093838
2017-07-27,104.08739214093838
2017-07-28,104.08739214093838
2017-07-29,91.07646812332108
2017-07-30,91.07646812332108
2017-07-31,104.08739214093838
2017-08-01,182.15293624664216
2017-08-02,156.13108821140756
2017-08-03,117.09831615855568
2017-08-04,104.08739214093838
2017-08-05,130.10924017617296
2017-08-06,117.09831615855568
2017-08-07,130.10924017617296
2017-08-08,130.10924017617296
2017-08-09,117.09831615855568
2017-08-10,117.09831615855568
2017-08-11,117.09831615855568
2017-08-12,143.12016419379026
2017-08-13,182.15293624664216
2017-08-14,195.16386026425945
2017-08-15,195.16386026425945
2017-08-16,169.14201222902486
2017-08-17,169.14201222902486
2017-08-18,156.13108821140756
2017-08-19,156.13108821140756
2017-08-20,130.10924017617296
2017-08-21,130.10924017617296
2017-08-22,156.13108821140756
2017-08-23,143.12016419379026
2017-08-24,130.10924017617296
2017-08-25,143.12016419379026
2017-08-26,130.10924017617296
2017-08-27,117.09831615855568
2017-08-28,130.10924017617296
2017-08-29,143.12016419379026
2017-08-30,156.13108821140756
2017-08-31,156.13108821140756
2017-09-01,166.66747514617776
2017-09-02,166.66747514617776
2017-09-03,141.02632512368888
2017-09-04,179.4880501574222
2017-09-05,179.4880501574222
2017-09-06,166.66747514617776
2017-09-07,153.84690013493332
2017-09-08,153.84690013493332
2017-09-09,128.20575011244443
2017-09-10,128.20575011244443
2017-09-11,141.02632512368888
2017-09-12,141.02632512368888
2017-09-13,179.4880501574222
2017-09-14,230.77035020239998
2017-09-15,256.41150022488887
2017-09-16,166.66747514617776
2017-09-17,141.02632512368888
2017-09-18,153.84690013493332
2017-09-19,153.84690013493332
2017-09-20,128.20575011244443
2017-09-21,128.20575011244443
2017-09-22,115.38517510119999
2017-09-23,102.56460008995555
2017-09-24,102.56460008995555
2017-09-25,115.38517510119999
2017-09-26,115.38517510119999
2017-09-27,115.38517510119999
2017-09-28,115.38517510119999
2017-09-29,115.38517510119999
2017-09-30,102.56460008995555
2017-10-01,102.56460008995555
2017-10-02,115.38517510119999
2017-10-03,115.38517510119999
2017-10-04,115.38517510119999
2017-10-05,102.56460008995555
2017-10-06,102.56460008995555
2017-10-07,102.56460008995555
2017-10-08,102.56460008995555
2017-10-09,128.20575011244443
2017-10-10,128.20575011244443
2017-10-11,128.20575011244443
2017-10-12,205.1292001799111
2017-10-13,243.59092521364443
2017-10-14,166.66747514617776
2017-10-15,166.66747514617776
2017-10-16,166.66747514617776
2017-10-17,153.84690013493332
2017-10-18,153.84690013493332
2017-10-19,153.84690013493332
2017-10-20,179.4880501574222
2017-10-21,205.1292001799111
2017-10-22,166.66747514617776
2017-10-23,192.30862516866665
2017-10-24,205.1292001799111
2017-10-25,179.4880501574222
2017-10-26,179.4880501574222
2017-10-27,153.84690013493332
2017-10-28,141.02632512368888
2017-10-29,141.02632512368888
2017-10-30,166.66747514617776
2017-10-31,192.30862516866665
2017-11-01,243.59092521364443
2017-11-02,320.5143752811111
2017-11-03,282.05265024737776
2017-11-04,230.77035020239998
2017-11-05,230.77035020239998
2017-11-06,230.77035020239998
2017-11-07,230.77035020239998
