,token,change_p1_p2,wc_p1_p2,change_p2_p3,wc_p2_p3
59,actual,7.650896543794938,0.365183367261101,0.05244171369787054,0.7681899424820429
60,add,-24.15999403124833,0.02033428463757956,14.352709184560375,0.5009515995808672
61,addit,-32.768213310938485,0.05101904032939071,33.502513992979786,0.13020649003975251
62,address,-6.088932878771214,0.8996175706105861,22.206147424343058,0.2711686857958393
63,adopt,-43.39180370477654,0.00012848385302385152,1.3520989704510766,0.8712201416173911
64,advanc,18.63969852507694,0.11904349762103932,-18.56421605728622,0.12053716495103521
65,advantag,-6.779455431133174,0.5686750846222377,1.5988362900420494,0.5904869619970333
66,advic,9.924804000282261,0.4710123845418701,-11.180891545183357,0.4118406890962848
67,advis,55.173364813592855,0.26799166850625034,-9.454268741913541,0.7603325881885936
68,affect,-1.036755217186125,0.4697572409832451,-11.405400277423784,0.7247636640656618
69,afford,-13.719207082371055,0.26952901545947583,19.712144415682964,0.29463280490578647
70,age,-3.154212031232828,0.9562342086582423,22.859656234098892,0.8679451823894924
71,ago,5.207900509242713,0.33050621844772443,6.802011194383817,0.6655209120054966
72,agre,-13.559131399778046,0.9530251212279125,-8.411950514217848,0.5005917230107055
73,ahead,-9.71731501754597,0.8104942927645991,-7.0070868160193145,0.824069803307
74,aim,-24.207644198356114,0.1943607811920376,-12.865492032553972,0.6076730565707753
75,allow,-10.984297015941635,0.2221315819473615,7.465893159850068,0.619772747579546
76,alltim,304.9914769602991,9.393159920319073e-05,-76.66310569219706,5.872884916327933e-05
77,almost,18.079356453897955,0.22034383520373635,6.369614387928846,0.6163155622173433
78,alon,-32.08217467125418,0.1631970144875312,74.65628041474734,0.06457159293996781
79,along,-20.007894612810475,0.4722692404178007,28.038405292541448,0.7783941663122913
80,alreadi,0.5441908212412416,0.9568864905660663,1.988218622521587,0.7346390765384248
81,also,7.926071527785594,0.37723019061298,-2.3664729354571423,0.85576885917347
82,alt,31.56408931606107,0.33911057223049934,-28.549703466694265,0.15091921771341668
83,altcoin,-6.634927455057427,0.7016862335569095,8.963995226658783,0.894376945704066
84,altern,-20.762537116463207,0.13310918301440472,-11.214522407907634,0.3812477703266033
85,although,-10.857854256021115,0.3997187561837352,-10.541905153422093,0.829692212677898
86,alway,1.3668444095695786,0.8605265809817827,-1.722092985449597,0.8059745084782912
87,amaz,34.65189771058541,0.3330848575976012,9.709048185473579,0.32451811709056955
88,amazon,41.96712099967008,0.3729775834263621,1.6434167359788754,0.6998218363056643
89,america,-24.535749634726866,0.0952019471526503,-7.985959586377012,0.9224952729693126
90,american,-3.8112390866518853,0.6958217517131456,-22.693121783636418,0.22130760480021916
91,among,-18.361401877568152,0.16336288489661188,18.400419649882505,0.19862459650301867
92,amount,7.1679095704539675,0.636188523210808,6.220174131873568,0.825048697591954
93,analysi,-33.273715466495325,0.004917744169158197,28.436264744015418,0.21166446019760576
94,analyst,15.711850560085484,0.6605477268394015,0.015261319155412956,0.6388111267690776
95,announc,10.194034404345054,0.5487105719574691,-13.440400126359808,0.057484870174688826
96,anonym,-35.246804525281746,0.062336811897037235,15.017550517028733,0.441086616419364
97,anoth,11.391795647870563,0.14314361570147596,1.1838245098259703,0.7569459994636007
98,answer,8.051085750277442,0.7185439448898634,30.35322391929922,0.07534819286878235
99,anybodi,73.04733273416078,0.0016366330958230634,-11.618092760598952,0.19900668215813977
100,anymor,-6.088932878771214,0.7614316055224681,10.909780855706309,0.940702283578722
101,anyon,-3.7690643930499257,0.732058426986598,4.322606994238143,0.5754640255089769
102,anyth,5.216958910925906,0.38952869722341177,7.4443784665247925,0.8135908809732938
103,anyway,5.649950511382373,0.501061596139448,9.337671479150789,0.7827706013496938
104,anywher,-14.28400241529354,0.6297829828356756,-9.05589028886099,0.7210014627179908
105,api,29.5063909494365,0.43520166497141155,8.963995226658783,0.6169281247773888
106,app,4.407009917130833,0.5856718300886727,14.104712814512643,0.20326067030518769
107,appar,-20.762537116463207,0.6410554399097524,11.532170198330904,0.687183291108537
