,token,tot_all,tot_p1,tot_p2,tot_p3
1641,seiz,0.20398123372649718,0.13685396876509417,0.1575194826728569,0.17685935027459743
1642,select,0.21358035060774408,0.22540653678956687,0.1326479854087216,0.35371870054919485
1643,self,0.2987725129288106,0.3461600386411206,0.29845796716962364,0.32579353997952154
1644,sell,5.445099050887318,5.111898245049106,5.7536063671033,5.100995997393651
1645,seller,0.24477748047179662,0.21735630333279665,0.23213397446526282,0.16755096341803966
1646,selloff,0.12478851945621004,0.12880373530832395,0.0414524954402255,0.13031741599180863
1647,senat,0.3431684285045776,0.3864112059249718,0.2652959708174432,0.2420180582705017
1648,send,3.1329117721169655,3.60650458863307,3.3079091361299953,3.583728939774737
1649,sens,0.6947360842802462,0.7486717114796329,0.7295639197479689,0.7446709485246207
1650,sentiment,0.2375781428108614,0.12880373530832395,0.19897197811308243,0.2885599925532905
1651,separ,0.25317670774288764,0.2415070037031074,0.248714972641353,0.2978683794098483
1652,septemb,0.3527675453858245,1.3765899211077122,0.2072624772011275,0.21409289770082846
1653,seri,0.17998344152337983,0.22540653678956687,0.165809981760902,0.2047845108442707
1654,serious,0.6875367466193111,0.7325712445660923,0.7710164151881943,0.5585032113934655
1655,serv,0.259176155793667,0.27370793753018835,0.2818769689935334,0.3444103136926371
1656,server,0.2735748311155374,0.28980840444372885,0.2652959708174432,0.4281857954016569
1657,servic,1.3774732724589338,1.63419739172436,1.4674183385839827,1.3962580284836636
1658,set,1.661847110065874,1.827402994686846,1.799038302105787,1.9175276924508982
1659,settl,0.21957979865852342,0.27370793753018835,0.1741004808489471,0.26994321884017497
1660,setup,0.2891733960475636,0.3864112059249718,0.3067484662576687,0.2978683794098483
1661,sever,0.6671386232466613,0.8050233456770247,0.5223014425468413,0.7260541748115051
1662,shake,0.13798730516792454,0.13685396876509417,0.07461449179240591,0.07446709485246207
1663,share,1.7278410386244465,1.5214941233295765,1.7907478030177417,1.852368984454994
1664,sheet,0.22077968826867927,0.2576074706166479,0.2072624772011275,0.17685935027459743
1665,shiba,0.23277858437023793,0.1771051360489454,0.5637539379870669,0.1954761239877129
1666,shift,0.2303788051499262,0.1932056029624859,0.22384347537721772,0.2420180582705017
1667,shill,0.13318774672730108,0.09660280148124295,0.09119548996849611,0.16755096341803966
1668,ship,0.2027813441163413,0.18515536950571568,0.2072624772011275,0.1954761239877129
1669,shit,0.8159249349059887,0.5554661085171471,0.7378544188360139,0.8936051382295448
1670,shitcoin,0.4343600388764234,0.32200933827080985,0.4891394461946609,0.5212696639672345
1671,shock,0.2099806817772765,0.26565770407341815,0.2818769689935334,0.26063483198361725
1672,shoot,0.28797350643740777,0.22540653678956687,0.2155529762891726,0.26994321884017497
1673,shop,0.3107714090303692,0.3300595717275801,0.2901674680815785,0.2885599925532905
1674,short,1.6990436879807058,1.5536950571566577,1.7327143094014261,1.7499767290328587
1675,shortterm,0.160785207760886,0.1932056029624859,0.1741004808489471,0.2047845108442707
1676,show,1.9174235970290734,2.2379649009821283,1.7824573039296965,2.038536721586149
1677,shut,0.3251700843522396,0.27370793753018835,0.18239097993699221,0.30717676626640605
1678,sick,0.13318774672730108,0.09660280148124295,0.1409384844967667,0.18616773713115517
1679,side,0.5219519804178016,0.4347126066655933,0.5554634388990217,0.5864283719631388
1680,sign,1.0319050647340444,1.0948317501207534,1.1772508705024043,1.2473238387787398
1681,signal,0.49675429860452835,0.4266623732088231,0.3482009616978942,0.4002606348319836
1682,signific,0.5651480063834128,0.5715665754306875,0.6052064334272923,0.5864283719631388
1683,silver,0.23277858437023793,0.3300595717275801,0.3896534571381197,0.15824257656148188
1684,similar,0.8015262595841183,0.8613749798744164,0.7875974133642846,0.9680722330820068
1685,simpl,0.8459221751598853,0.7889228787634841,0.8622119051566904,0.9401470725123336
1686,simpli,0.7403318894661691,0.8050233456770247,0.7627259161001493,0.8377548170901982
1687,sinc,2.940929434492027,2.9141845113508293,3.034322666224507,3.043842502094387
1688,singl,0.8411226167192618,0.9096763806150379,0.8787929033327806,0.9122219119426603
1689,sit,0.9467129024129779,0.9338270809853486,1.1109268777980434,1.126314809643489
1690,site,0.7607300128388188,0.8613749798744164,0.9534073951251866,0.8656799776598716
1691,situat,0.6275422661115178,0.6762196103687007,0.7378544188360139,0.6608954668156009
1692,six,0.1355875259476128,0.14490420222186443,0.1575194826728569,0.13031741599180863
1693,size,0.3275698635725513,0.28980840444372885,0.3067484662576687,0.30717676626640605
1694,skeptic,0.1535858700999508,0.07245210111093221,0.1575194826728569,0.2420180582705017
1695,skill,0.1259884090663659,0.1771051360489454,0.1326479854087216,0.13962580284836637
1696,skyrocket,0.15838542854057427,0.16100466913540493,0.19897197811308243,0.1117006422786931
1697,sleep,0.18718277918431506,0.20125583641925618,0.2155529762891726,0.2047845108442707
1698,slight,0.16918443503197705,0.1771051360489454,0.19068147902503732,0.2047845108442707
1699,slow,0.3455682077248893,0.3139591048140396,0.248714972641353,0.4840361165410034
1700,slowli,0.2759746103358491,0.3300595717275801,0.331619963521804,0.26063483198361725
